City,Country,Population (2025)
Naga,Philippines,349456.7005
Linxia,China,229343.1849
Letpadan,Myanmar,111330.2998
Tanjung Balai Karimun,Indonesia,170469.085
Mỹ Đức,Vietnam,63272.66977
Sinchon,North Korea,126786.9463
Osaka,Japan,12653994.42
Calabanga,Philippines,63461.43591
Wuyuan,China,91185.10182
Danu Phyu,Myanmar,92157.30977
Lahat,Indonesia,128389.3853
Rạch Giá,Vietnam,279575.6825
Sariwon,North Korea,401117.4345
Hachinohe,Japan,141449.9942
Iloilo City,Philippines,728985.4748
Baiyin,China,222677.0717
Thayarwady,Myanmar,80229.38071
Kuala Tungkal,Indonesia,98608.23883
Cái Dầu,Vietnam,83844.50022
Jaeryong,North Korea,101979.1502
Fukui,Japan,195358.7629
Roxas,Philippines,138313.8438
大武口村,China,169989.8726
Nyaungdon,Myanmar,79435.76294
Jambi,Indonesia,945977.3332
Hồng Ngự,Vietnam,86037.80375
Naha,Japan,1065339.195
Iriga,Philippines,202921.2884
Hezuo,China,53835.97548
Bogale,Myanmar,165080.5594
Sungaiguntung,Indonesia,57836.31877
Phú Mỹ,Vietnam,77447.54675
T'aet'an-eup,North Korea,62022.12713
Takaoka,Japan,157365.7874
Goa,Philippines,82152.43471
Zhongwei,China,173278.5449
Taunggyi,Myanmar,383381.9676
Muara Enim,Indonesia,85829.44074
Đông Hà,Vietnam,69685.97968
Hoechang,North Korea,72425.15769
Echizen,Japan,58148.01597
Zamboanga City,Philippines,591536.4965
Yuanyi,China,94623.15619
Nyaung Shwe,Myanmar,97117.53902
Keban Agung,Indonesia,97692.0086
Long Xuyên,Vietnam,550869.436
Rason,North Korea,128331.3952
Toyama,Japan,239819.7818
Ligao,Philippines,105742.8963
Yinchuan,China,1913287.29
Okkan,Myanmar,60394.12652
Talang Gudang,Indonesia,50287.44591
Chợ Mới,Vietnam,55250.3393
Chŏngjin,North Korea,683869.9471
Tokushima,Japan,242828.5462
Tabaco,Philippines,145804.1185
Heping,China,58422.17882
Maubin,Myanmar,177136.8441
Batam City,Indonesia,1411731.124
Cà Mau,Vietnam,141175.5808
Tsuruga,Japan,50372.57978
Bacolod,Philippines,690717.0492
Pingluo,China,98217.15699
Taungoo,Myanmar,175200.0844
Baturaja,Indonesia,110229.031
Cao Lãnh,Vietnam,144438.6482
Hamhung,North Korea,393816.2754
Arinodai,Japan,62437.18989
Silay,Philippines,69271.95737
Qipanjing,China,56496.02658
Hopong,Myanmar,88727.22455
