prov_id,names,owner,population,year
2019,Bandera,USA,,
2021,Coatzacoalcos,MEX,303635,2025
2027,Al-'Ulā; Al-Ula,KSA,40760,2022
2028,Jiuquan; Jiǔquán,PRC,181625,2025
2036,Orai; Uraī,IND,297192,2025
2049,Ghardaïa; Ġardāya,ALG,149916,2025
2051,Colima,MEX,307483,2025
2054,Alavar; Alwar,IND,541266,2025
2067,Xichang; Xīchāng,PRC,281791,2025
2069,Heroica Caborca,MEX,76332,2025
2075,Puerto Cabezas,NCG,,
2076,Mandi; Maṁḍī,IND,,
2077,Belize City,BLZ,76331,2025
2083,Ciudad Victoria,MEX,328571,2025
2092,Baram; Bārām,IND,,
2114,Ballarat,AUS,67880,2025
2116,Central Coast,AUS,,
2176,Mpanda,TZN,116981,2025
2186,Gazakh; Qazax,AZJ,,
2206,Babati,TZN,67445,2022
2356,Petrozavodsk,SOV,217903,2025
2843,Jashore; Yaśor,BAN,552981,2025
2853,Manzanillo,MEX,176405,2025
2947,San Miguel de Allende,MEX,92834,2025
2999,Vyshny Volochyok,SOV,,
3013,Mikkeli,FIN,51551,2025
3021,Hamar,NWY,33817,2026
3022,Stjørdal,NWY,,
3033,Kondopoga,SOV,24689,2025
3059,Geilo,NWY,,
3065,Bereznik,SOV,,
3082,Skjervøy,NWY,,
3088,Mo i Rana,NWY,,
3090,Sunnfjord,NWY,,
3095,Kiruna,SWE,17284,2023
3102,Luza,SOV,,
3116,Nerekhta,SOV,,
3122,Vaasa,FIN,,
3125,Kajaani,FIN,36370,2025
3130,Plesetsk,SOV,,
3140,Tikhvin,SOV,,
3143,Krasny Kholm,SOV,,
3150,Dundee,GBR,158327,2025
3154,Kirillov,SOV,,
3155,Zheshart,SOV,,
3161,Kouvola,FIN,77625,2025
3171,Fredrikstad,NWY,52114,2025
3172,Jakobstad,FIN,,
3174,Pärnu,EST,40934,2026
3177,Demyanovo,SOV,,
3182,Skutskär,SWE,,
3183,Røros,NWY,,
3187,Sortavala,SOV,14593,2025
3188,Leikanger,NWY,,
3192,Karmøy,NWY,,
3199,Lebedyan; Lebedyan',SOV,,
3206,Randers,DMK,64511,2025
3211,Den Haag; The Hague,NRD,,
3216,Otradny,SOV,,
3225,Shostka,UKR,59079,2025
3226,Dyatkovo,SOV,,
3229,Oskarshamn,SWE,18817,2023
3230,Płock,POL,71016,2025
3240,Ivanovo-Severnyy,SOV,,
3241,Hereford,GBR,55483,2025
3246,Novospasskoye,SOV,,
3254,Suwałki,POL,67937,2025
3258,Neubrandenburg,GER,59494,2025
3260,Slagelse,DMK,35817,2025
3262,Breda,NRD,177734,2025
3265,Buguruslan,SOV,41792,2025
3266,Zemetchino,SOV,,
3268,Kovrov,SOV,122872,2025
3272,Marijampolė,LIT,,
3273,Glasgow Airport,GBR,,
3274,Aberystwyth,GBR,,
3276,Barysh,SOV,,
3277,Kolding,DMK,63645,2025
3288,Klaipėda; Memel,LIT,103210,2025
3292,Shchyokino,SOV,,
3293,Svetlogorsk; Svietlahorsk,BLR,,
3296,Ventspils,LAT,32719,2025
3298,Alūksne,LAT,6188,2025
3299,Ingolstadt,GER,88782,2025
3305,Nykøbing Falster,DMK,,
3309,Slonim,BLR,49113,2023
3311,Douglas,GBR,,
3315,Volzhsk,SOV,,
3317,Nikolsk,SOV,,
3321,Ostashkov,SOV,,
3326,Bremen,GER,425974,2025
3335,Bryansk,SOV,131385,2025
3341,Herning,DMK,51782,2025
3344,Toropets,SOV,,
3346,Yelets,SOV,71183,2025
3350,Babruysk; Bobruysk,BLR,177154,2025
3352,Sergach,SOV,,
3356,Skopin,SOV,24055,2025
3357,Buzuluk,SOV,65616,2025
3359,Drogheda,IRE,,
3362,Yartsevo,SOV,,
3363,Omutninsk,SOV,18878,2025
3371,Kovylkino,SOV,19314,2025
3375,Skövde,SWE,40422,2023
3376,Yefremov,SOV,,
3377,Obninsk,SOV,104005,2025
3378,Bychaŭ; Bykhov,BLR,,
3387,Kasimov,SOV,27234,2025
3392,Brest,BLR,397637,2025
3402,Saint-Quentin,FRA,,
3409,Volchansk; Vovchans'k; Vovchansk,UKR,,
3427,Ejin Horo; Ejin Qoroga; Yījīnhuòluò,PRC,,
3430,Kam'yanets'-Podil's'kyy; Kamenets-Podol'skiy; Kamianets-Podilskyi,UKR,84179,2025
3431,Veshenskaya,SOV,,
3434,Przemyśl,POL,54622,2025
3438,Grünberg; Zielona Góra,POL,159472,2025
3443,Zimovniki,SOV,,
3452,Kirovograd; Kirovohrad; Kropivnits'kyy; Kropivnitskiy; Kropyvnytskyi,UKR,195361,2025
3455,Akhtyrka; Okhtyrka,UKR,,
3457,Khmel'nyts'kyy; Khmel'nytskiy; Khmelnytskyi,UKR,224407,2025
3463,Exeter,GBR,110292,2025
3466,Krasnoarmeysk; Krasnoarmiisk; Krasnoarmiys'k; Pokrovs'k; Pokrovsk,UKR,55117,2025
3468,Svetlovodsk; Svitlovods'k; Svitlovodsk,UKR,,
3470,Zviahel,UKR,,
3479,Artemivsk; Bakhmut,UKR,68173,2025
3480,Nezhin; Nizhyn,UKR,,
3482,Petrikau; Piotrków Trybunalski,POL,50882,2025
3483,Tarnopol; Ternopil; Ternopil'; Ternopol',UKR,183217,2025
3488,Eupen,BLG,20145,2026
3490,Novouzensk,SOV,,
3491,Krasnyi Lyman; Krasnyy Lyman; Lyman,UKR,,
3495,Laval,FRA,,
3499,Brandenburg an der Havel,GER,73945,2025
3501,Dover,GBR,,
3509,Le Mans,FRA,140414,2025
3511,Shepetivka; Shepetovka,UKR,,
3513,Salem,USA,228920,2025
3514,Görlitz,GER,55065,2025
3519,Millerovo,SOV,34246,2025
3524,Marburg,GER,73571,2025
3527,Liski,SOV,51778,2025
3529,Volgograd,SOV,632650,2025
3530,Karlsruhe,GER,299990,2025
3537,Banská Bystrica,SLO,60513,2025
3544,Warsaw; Warschau; Warszawa,POL,1999986,2025
3545,Legnica; Liegnitz,POL,77540,2025
3548,Mukachevo,UKR,70871,2025
3549,Évreux,FRA,,
3550,Prešov,SLO,77203,2025
3556,Luninets,BLR,,
3558,Ludwigshafen am Rhein,GER,177355,2025
3566,Borisoglebsk,SOV,57845,2025
3569,Brno,CZE,313582,2025
3573,Nova Kakhovka; Novaya Kakhovka,UKR,,
3580,Kursk,SOV,278148,2025
3583,Ostrava,CZE,150766,2025
3587,Egorlykskaya,SOV,,
3601,Karlovac,CRO,41869,2021
3605,Kingston,CAN,88900,2025
3606,Chilpancingo de los Bravo,MEX,225728,2020
3609,Šabac,SRB,51163,2022
3621,Guéret,FRA,,
3623,Sombor,SRB,41814,2022
3630,Băilești,ROM,15928,2021
3631,Kranj,SLV,38089,2026
3639,Pitești,ROM,147709,2025
3645,Târgu Jiu,ROM,63417,2025
3655,Bourges,FRA,53520,2025
3658,Kutaisi,GEO,132035,2025
3660,Davos,SWI,10733,2025
3663,Ploiești,ROM,187350,2025
3672,Urus-Martan,SOV,63830,2025
3673,Klagenfurt am Wörthersee,ASA,105734,2026
3676,Brassó; Brașov,ROM,230438,2025
3679,Stuggart,GER,,
3681,Auxerre,FRA,,
3682,Khasavyurt,SOV,207881,2025
