City,Country,Population,Census Date
Buchanan,USA,5640,4/1/20
Buckeye,USA,23897,4/1/20
Buckeye North,USA,6796,4/1/20
Buckhannon,USA,8547,4/1/20
Bucyrus,USA,11772,4/1/20
Buellton,USA,5161,4/1/20
Buena Vista,USA,5038,4/1/20
Buena Vista,USA,6603,4/1/20
Buffalo,USA,16439,4/1/20
Buffalo,USA,948864,4/1/20
Buffalo,USA,4516,4/1/20
Buies Creek - Lillington,USA,7391,4/1/20
Bullhead City,USA,54396,4/1/20
Burkburnett,USA,10449,4/1/20
Burley,USA,17741,4/1/20
Burlington,USA,28447,4/1/20
Burlington,USA,145311,4/1/20
Burlington,USA,118032,4/1/20
Burlington,USA,24086,4/1/20
Burnet,USA,5001,4/1/20
Burns,USA,4169,4/1/20
Burnt Store Marina,USA,4191,4/1/20
Bushnell,USA,3664,4/1/20
Butler,USA,37954,4/1/20
Butte-Silver Bow,USA,30258,4/1/20
Byron,USA,5625,4/1/20
Byron,USA,6341,4/1/20
Cadillac,USA,12208,4/1/20
Cairo,USA,10346,4/1/20
Calexico,USA,38491,4/1/20
Calhoun,USA,23066,4/1/20
California - Brownsville,USA,10185,4/1/20
Calistoga,USA,5173,4/1/20
Calumet ( - Laurium ),USA,5112,4/1/20
Camarillo,USA,76338,4/1/20
Cambria,USA,5478,4/1/20
Cambridge,USA,14978,4/1/20
Cambridge,USA,10128,4/1/20
Cambridge,USA,14427,4/1/20
Camden,USA,9873,4/1/20
Camden,USA,4660,4/1/20
Camden - Lugoff,USA,30655,4/1/20
Camdenton,USA,5849,4/1/20
Cameron,USA,8450,4/1/20
Cameron,USA,5151,4/1/20
Camilla,USA,5270,4/1/20
Campbellsville,USA,12789,4/1/20
Camp Verde,USA,5759,4/1/20
Canajoharie - Fort Plain,USA,5278,4/1/20
Canandaigua,USA,18049,4/1/20
Canastota,USA,5616,4/1/20
Canby,USA,19055,4/1/20
Cañon City,USA,24737,4/1/20
Canton,USA,13177,4/1/20
Canton,USA,26257,4/1/20
Canton,USA,6812,4/1/20
Canton,USA,8812,4/1/20
Canton,USA,295319,4/1/20
Canyon,USA,16171,4/1/20
Canyon Lake,USA,7918,4/1/20
Cape Coral,USA,599242,4/1/20
Cape Girardeau,USA,55546,4/1/20
Carbondale,USA,7361,4/1/20
Carbondale ( incl. Murphysboro ),USA,31488,4/1/20
Carlinville,USA,5602,4/1/20
Carlsbad,USA,34442,4/1/20
Carmi,USA,5067,4/1/20
Caro,USA,5383,4/1/20
Carrizo Springs,USA,5615,4/1/20
Carroll,USA,10150,4/1/20
Carrollton,USA,38385,4/1/20
Carrollton,USA,5471,4/1/20
Carson City,USA,61629,4/1/20
Cartersville,USA,52351,4/1/20
Carthage,USA,16260,4/1/20
Carthage,USA,5160,4/1/20
Carthage,USA,6328,4/1/20
Caruthersville,USA,5319,4/1/20
Casa Grande,USA,50981,4/1/20
Casper,USA,67751,4/1/20
Castle Rock,USA,85350,4/1/20
Castroville - Prunedale,USA,12334,4/1/20
Catskill,USA,7012,4/1/20
Cedar City,USA,40899,4/1/20
Cedar Rapids,USA,192844,4/1/20
Cedartown,USA,12833,4/1/20
Celina,USA,12035,4/1/20
Center,USA,5123,4/1/20
Centerville,USA,5269,4/1/20
Central City,USA,5767,4/1/20
Centralia,USA,15301,4/1/20
Centralia,USA,42338,4/1/20
Chadron,USA,4930,4/1/20
Chambersburg,USA,50094,4/1/20
Champaign,USA,147452,4/1/20
Chanute,USA,8710,4/1/20
Chapin,USA,5701,4/1/20
Chardon,USA,6454,4/1/20
Charles City,USA,7255,4/1/20
Charleston,USA,17415,4/1/20
Charleston,USA,140958,4/1/20
Charleston,USA,684773,4/1/20
Charlestown,USA,6696,4/1/20
Charlestown,USA,4348,4/1/20
Charlevoix,USA,3777,4/1/20
Charlotte,USA,13026,4/1/20
Charlotte,USA,1379873,4/1/20
Charlottesville,USA,104191,4/1/20
Chatsworth,USA,12808,4/1/20
Chattanooga,USA,398569,4/1/20
Cheboygan,USA,5142,4/1/20
Chelan,USA,6380,4/1/20
Chelsea,USA,5851,4/1/20
Cheney,USA,13176,4/1/20
Cheraw,USA,7480,4/1/20
Cherokee,USA,4705,4/1/20
Cherryville,USA,6747,4/1/20
Chesapeake Beach,USA,16926,4/1/20
Chester,USA,6338,4/1/20
Chester,USA,5900,4/1/20
Chester,USA,8611,4/1/20
Chestertown,USA,7392,4/1/20
Cheyenne,USA,79250,4/1/20
Chicago,USA,8671746,4/1/20
Chickasha,USA,15253,4/1/20
Chico,USA,111411,4/1/20
Childress,USA,4516,4/1/20
Chillicothe,USA,9122,4/1/20
Chillicothe,USA,31727,4/1/20
Chincoteague,USA,3223,4/1/20
Chino Valley,USA,13317,4/1/20
Chisholm,USA,4586,4/1/20
Chittenango,USA,5054,4/1/20
Chowchilla,USA,13196,4/1/20
Cienega Springs,USA,2041,4/1/20
Cincinnati,USA,1686744,4/1/20
Circleville,USA,15679,4/1/20
Clanton,USA,6423,4/1/20
Claremont,USA,9415,4/1/20
Claremore,USA,25415,4/1/20
Clarinda,USA,5213,4/1/20
Clarion,USA,5662,4/1/20
Clarksburg,USA,32882,4/1/20
Clarksdale,USA,14408,4/1/20
