city,country,population,reference_date,state
Ráoyáng,China,82407,2010-11-01,hebei
Rènqiū,China,430896,2010-11-01,hebei
Róngchéng,China,99048,2010-11-01,hebei
Sānhé,China,386902,2010-11-01,hebei
Shāhé,China,218958,2010-11-01,hebei
Shēnzé,China,72203,2010-11-01,hebei
Shēnzhōu ( Shēnxiàn ),China,207945,2010-11-01,hebei
Shèxiàn,China,176855,2010-11-01,hebei
"Shíjiāzhuāng ( incl. Luánchéng, Lùquán, Găochéng ) [ Shijiazhuang ]",China,3317275,2010-11-01,hebei
Shùnpíng,China,64145,2010-11-01,hebei
Sùníng,China,126167,2010-11-01,hebei
"Tángshān ( incl. Fēngnán, Fēngrùn ) [ Tangshan ]",China,2128191,2010-11-01,hebei
Tángxiàn,China,123192,2010-11-01,hebei
Wàngdū,China,74483,2010-11-01,hebei
Wéichăng,China,107203,2010-11-01,hebei
Wēixiàn ( in: Xíngtái Shì ),China,122503,2010-11-01,hebei
Wèixiàn ( in: Hándān Shì ),China,303449,2010-11-01,hebei
Wén'ān,China,217167,2010-11-01,hebei
Wŭ'ān,China,293151,2010-11-01,hebei
Wújí,China,122816,2010-11-01,hebei
Wúqiáo,China,88175,2010-11-01,hebei
Wŭyì,China,80270,2010-11-01,hebei
Xiānghé,China,177960,2010-11-01,hebei
Xiànxiàn,China,141328,2010-11-01,hebei
Xīnglóng,China,95762,2010-11-01,hebei
"Xíngtái ( incl. Nèiqiū, Rènxiàn ) [ Xingtai ]",China,1060749,2010-11-01,hebei
Xíngtáng,China,82946,2010-11-01,hebei
Xīnjí,China,236658,2010-11-01,hebei
Xīnlè,China,194480,2010-11-01,hebei
Xióngxiàn,China,139180,2010-11-01,hebei
Xúshuĭ,China,193770,2010-11-01,hebei
Yángyuán,China,82997,2010-11-01,hebei
Yánshān,China,154138,2010-11-01,hebei
Yìxiàn,China,126242,2010-11-01,hebei
Yŏngqīng,China,116883,2010-11-01,hebei
Yuánshì,China,100639,2010-11-01,hebei
Yùtián,China,283926,2010-11-01,hebei
Yùxiàn,China,146274,2010-11-01,hebei
Zànhuáng,China,50242,2010-11-01,hebei
Zăoqiáng,China,131183,2010-11-01,hebei
Zhāngbĕi,China,103186,2010-11-01,hebei
"Zhāngjiākŏu ( incl. Wànquán, Xuānhuà ) [ Zhangjiakou ]",China,1180667,2010-11-01,hebei
Zhàoxiàn,China,175520,2010-11-01,hebei
Zhèngdìng,China,208276,2010-11-01,hebei
Zhuōlù,China,93219,2010-11-01,hebei
Zhuōzhōu,China,260493,2010-11-01,hebei
Zūnhuà,China,299759,2010-11-01,hebei
Āchéng,China,336741,2010-11-01,heilongjiang
Āndá,China,223486,2010-11-01,heilongjiang
Bàiquán,China,100826,2010-11-01,heilongjiang
Băoqīng,China,149147,2010-11-01,heilongjiang
Bāyàn,China,143909,2010-11-01,heilongjiang
Bĕi'ān,China,248471,2010-11-01,heilongjiang
Bīnxiàn,China,146031,2010-11-01,heilongjiang
Bólì,China,119659,2010-11-01,heilongjiang
Dàqìng [ Daqing ],China,1433698,2010-11-01,heilongjiang
Dōngníng,China,112425,2010-11-01,heilongjiang
Dù'ĕrbótè ( Dorbod ),China,85657,2010-11-01,heilongjiang
Fāngzhèng,China,92102,2010-11-01,heilongjiang
Fēnglín,China,98355,2010-11-01,heilongjiang
Fùjĭn,China,215237,2010-11-01,heilongjiang
Fùlā'ĕrjī ( Hulan Ergi ),China,220172,2010-11-01,heilongjiang
Fùyù,China,108929,2010-11-01,heilongjiang
Fŭyuăn,China,74435,2010-11-01,heilongjiang
Gānnán,China,102716,2010-11-01,heilongjiang
Hā'ĕrbīn ( incl. Hūlán ) [ Harbin ],China,4596313,2010-11-01,heilongjiang
Hăilín,China,216633,2010-11-01,heilongjiang
Hăilún,China,188461,2010-11-01,heilongjiang
Hègăng,China,600941,2010-11-01,heilongjiang
Hēihé,China,147042,2010-11-01,heilongjiang
Huàchuān,China,85706,2010-11-01,heilongjiang
Huànán,China,134270,2010-11-01,heilongjiang
Hŭlín,China,193028,2010-11-01,heilongjiang
Jiāgédáqí ( Jagdaqi ),China,142465,2010-11-01,heilongjiang
Jiāmùsī,China,631357,2010-11-01,heilongjiang
Jīdōng,China,106611,2010-11-01,heilongjiang
Jīxī [ Jixi ],China,746889,2010-11-01,heilongjiang
Jíxián,China,114428,2010-11-01,heilongjiang
Kèdōng,China,78507,2010-11-01,heilongjiang
Kèshān,China,89510,2010-11-01,heilongjiang
Lánxī,China,97960,2010-11-01,heilongjiang
Líndiàn,China,73558,2010-11-01,heilongjiang
Línkŏu,China,120953,2010-11-01,heilongjiang
Lóngjiāng,China,133204,2010-11-01,heilongjiang
Luóbĕi,China,137050,2010-11-01,heilongjiang
Míngshuĭ,China,91015,2010-11-01,heilongjiang
Mìshān,China,176612,2010-11-01,heilongjiang
Mòhé,China,71307,2010-11-01,heilongjiang
Mŭdānjiāng [ Mudanjiang ],China,790623,2010-11-01,heilongjiang
Mùlán,China,74977,2010-11-01,heilongjiang
Mùléng,China,112882,2010-11-01,heilongjiang
Nánchà,China,105302,2010-11-01,heilongjiang
Nèhé,China,233724,2010-11-01,heilongjiang
Nènjiāng,China,251492,2010-11-01,heilongjiang
Níng'ān,China,128469,2010-11-01,heilongjiang
Qìng'ān,China,115205,2010-11-01,heilongjiang
Qīnggāng,China,127431,2010-11-01,heilongjiang
Qíqíhā'ĕr [ Qiqihar ],China,1033174,2010-11-01,heilongjiang
Qītáihé,China,503678,2010-11-01,heilongjiang
Ráohé,China,80214,2010-11-01,heilongjiang
Shàngzhì,China,269699,2010-11-01,heilongjiang
Shuāngchéng,China,244898,2010-11-01,heilongjiang
Shuāngyāshān,China,481110,2010-11-01,heilongjiang
Suíbīn,China,72882,2010-11-01,heilongjiang
Suífēnhé,China,128363,2010-11-01,heilongjiang
Suíhuà,China,364225,2010-11-01,heilongjiang
Suílíng,China,121801,2010-11-01,heilongjiang
Tăhé,China,81480,2010-11-01,heilongjiang
Tàilái,China,95257,2010-11-01,heilongjiang
Tāngyuán,China,114663,2010-11-01,heilongjiang
Tiĕlì,China,235148,2010-11-01,heilongjiang
Tōnghé,China,102009,2010-11-01,heilongjiang
Tóngjiāng,China,99829,2010-11-01,heilongjiang
Wàngkuí,China,111616,2010-11-01,heilongjiang
Wŭcháng,China,259836,2010-11-01,heilongjiang
Wŭdàliánchí ( Dédōu ),China,148465,2010-11-01,heilongjiang
Xīnlín,China,50859,2010-11-01,heilongjiang
Yánshòu,China,89667,2010-11-01,heilongjiang
Yī'ān,China,108962,2010-11-01,heilongjiang
Yīchūn,China,412791,2010-11-01,heilongjiang
Yīlán,China,145666,2010-11-01,heilongjiang
Yŏuyì,China,65916,2010-11-01,heilongjiang
Zhàodōng,China,358606,2010-11-01,heilongjiang
Zhàoyuán,China,137173,2010-11-01,heilongjiang
Zhàozhōu,China,116806,2010-11-01,heilongjiang
Ānyáng,China,293878,2010-11-01,henan
Ānyáng [ Anyang ],China,908129,2010-11-01,henan
Băofēng,China,149876,2010-11-01,henan
Bìyáng,China,224429,2010-11-01,henan
Bó'ài,China,169937,2010-11-01,henan
Chánggĕ,China,281578,2010-11-01,henan
Chángyuán,China,259565,2010-11-01,henan
Dānchéng,China,267136,2010-11-01,henan
Dēngfēng,China,293028,2010-11-01,henan
Dèngzhōu,China,415082,2010-11-01,henan
Fāngchéng,China,230181,2010-11-01,henan
Fànxiàn,China,96459,2010-11-01,henan
Fēngqiū,China,180852,2010-11-01,henan
Fúgōu,China,169513,2010-11-01,henan
Gŏngyì ( Gǒngxiàn ),China,366265,2010-11-01,henan
Guāngshān,China,162287,2010-11-01,henan
Gùshĭ,China,291031,2010-11-01,henan
Hèbì,China,477659,2010-11-01,henan
Huáibīn,China,158433,2010-11-01,henan
Huáiyáng,China,293757,2010-11-01,henan
Huángchuān,China,244949,2010-11-01,henan
Huáxiàn,China,190777,2010-11-01,henan
Huīxiàn,China,261767,2010-11-01,henan
Huòjiā,China,140064,2010-11-01,henan
Jiāozuò [ Jiaozuo ],China,702527,2010-11-01,henan
Jiáxiàn,China,171992,2010-11-01,henan
Jìyuán,China,334697,2010-11-01,henan
Kāifēng ( incl. Xiángfú ) [ Kaifeng ],China,894142,2010-11-01,henan
Lánkăo,China,169931,2010-11-01,henan
Língbăo,China,231101,2010-11-01,henan
Línyĭng,China,245200,2010-11-01,henan
Línzhōu ( Línxiàn ),China,321755,2010-11-01,henan
Luánchuān,China,126891,2010-11-01,henan
Luòhé [ Luohe ],China,575956,2010-11-01,henan
Luòníng,China,83988,2010-11-01,henan
Luóshān,China,150439,2010-11-01,henan
Luòyáng [ Luoyang ],China,1539100,2010-11-01,henan
Lŭshān,China,196522,2010-11-01,henan
Lúshì,China,89022,2010-11-01,henan
Lùyì,China,261887,2010-11-01,henan
Mèngjīn,China,142975,2010-11-01,henan
Mèngzhōu ( Mèngxiàn ),China,138393,2010-11-01,henan
Miănchí,China,122568,2010-11-01,henan
Mínquán,China,168694,2010-11-01,henan
Nánlè,China,94610,2010-11-01,henan
Nányáng [ Nanyang ],China,899899,2010-11-01,henan
Nánzhào,China,154794,2010-11-01,henan
Nèihuáng,China,120152,2010-11-01,henan
Nèixiāng,China,161987,2010-11-01,henan
Nínglíng,China,117205,2010-11-01,henan
Píngdĭngshān [ Pingdingshan ],China,813020,2010-11-01,henan
Píngyú,China,207874,2010-11-01,henan
Púyáng [ Puyang ],China,465980,2010-11-01,henan
Púyáng,China,298828,2010-11-01,henan
Qīngfēng,China,104292,2010-11-01,henan
Qìnyáng,China,223647,2010-11-01,henan
Qĭxiàn,China,236715,2010-11-01,henan
Qíxiàn,China,115614,2010-11-01,henan
Quèshān,China,121195,2010-11-01,henan
Rŭnán,China,199173,2010-11-01,henan
Rŭyáng,China,92999,2010-11-01,henan
Rŭzhōu,China,296913,2010-11-01,henan
Sānménxiá ( incl. Shǎnzhōu ),China,403541,2010-11-01,henan
Shàngcài,China,280040,2010-11-01,henan
Shāngchéng,China,135173,2010-11-01,henan
Shàngjiē,China,117243,2010-11-01,henan
Shāngqiū [ Shangqiu ],China,618549,2010-11-01,henan
Shāngshuĭ,China,227378,2010-11-01,henan
Shĕnqiū,China,261029,2010-11-01,henan
Shèqí,China,175412,2010-11-01,henan
Sōngxiàn,China,102135,2010-11-01,henan
Suìpíng,China,146192,2010-11-01,henan
Suīxiàn,China,181494,2010-11-01,henan
Tàikāng,China,280366,2010-11-01,henan
Táiqián,China,66914,2010-11-01,henan
Tánghé,China,371000,2010-11-01,henan
Tāngyīn,China,150975,2010-11-01,henan
Tóngbǎi,China,132051,2010-11-01,henan
Tōngxŭ,China,140344,2010-11-01,henan
Wèihuī,China,167454,2010-11-01,henan
Wèishì,China,217349,2010-11-01,henan
Wēnxiàn,China,150604,2010-11-01,henan
Wŭgāng,China,147521,2010-11-01,henan
Wŭyáng,China,173430,2010-11-01,henan
Wŭzhì,China,172433,2010-11-01,henan
Xiàngchéng,China,355449,2010-11-01,henan
Xiāngchéng,China,179267,2010-11-01,henan
Xiàyì,China,241516,2010-11-01,henan
Xīchuān,China,205991,2010-11-01,henan
Xīhuá,China,212680,2010-11-01,henan
Xīn'ān,China,160908,2010-11-01,henan
Xīncài,China,185004,2010-11-01,henan
Xíngyáng,China,269655,2010-11-01,henan
Xīnmì ( Mìxiàn ),China,359148,2010-11-01,henan
Xīnxiàn,China,99355,2010-11-01,henan
Xīnxiāng,China,147532,2010-11-01,henan
Xīnxiāng [ Xinxiang ],China,918078,2010-11-01,henan
Xìnyáng [ Xinyang ],China,625302,2010-11-01,henan
Xīnyĕ,China,179229,2010-11-01,henan
Xīnzhèng,China,337356,2010-11-01,henan
Xīpíng,China,180994,2010-11-01,henan
Xiūwŭ,China,100047,2010-11-01,henan
Xīxiá,China,162555,2010-11-01,henan
Xīxiàn,China,220796,2010-11-01,henan
Xŭchāng [ Xuchang ],China,674509,2010-11-01,henan
Xùnxiàn,China,151012,2010-11-01,henan
Yánjīn,China,122055,2010-11-01,henan
Yānlíng,China,148475,2010-11-01,henan
Yănshī,China,300743,2010-11-01,henan
Yèxiàn,China,204466,2010-11-01,henan
Yīchuān,China,160595,2010-11-01,henan
Yìmă,China,136461,2010-11-01,henan
Yíyáng,China,132658,2010-11-01,henan
Yŏngchéng,China,414312,2010-11-01,henan
Yuányáng,China,131481,2010-11-01,henan
Yúchéng,China,241261,2010-11-01,henan
Yŭzhōu,China,372815,2010-11-01,henan
Zhèchéng,China,188526,2010-11-01,henan
Zhèngyáng,China,137990,2010-11-01,henan
Zhèngzhōu [ Zhengzhou ],China,3559789,2010-11-01,henan
Zhènpíng,China,245418,2010-11-01,henan
Zhōngmóu,China,175011,2010-11-01,henan
Zhōukŏu,China,308360,2010-11-01,henan
Zhùmădiàn [ Zhumadian ],China,447559,2010-11-01,henan
Ānlù,China,237409,2010-11-01,hubei
Bādōng,China,109476,2010-11-01,hubei
Băokāng,China,84639,2010-11-01,hubei
Chángyáng,China,94009,2010-11-01,hubei
Chìbì ( Púqí ),China,202542,2010-11-01,hubei
Chóngyáng,China,152607,2010-11-01,hubei
Dāngyáng,China,183823,2010-11-01,hubei
Dānjiāngkŏu,China,190021,2010-11-01,hubei
Dàwù,China,222404,2010-11-01,hubei
Dàyĕ,China,449998,2010-11-01,hubei
Ēnshī,China,320107,2010-11-01,hubei
Èzhōu [ Ezhou ],China,607739,2010-11-01,hubei
Fángxiàn,China,119220,2010-11-01,hubei
Gōng'ān,China,292930,2010-11-01,hubei
Guăngshuĭ,China,272402,2010-11-01,hubei
Gŭchéng,China,197670,2010-11-01,hubei
Hànchuān,China,468868,2010-11-01,hubei
Hèfēng,China,52157,2010-11-01,hubei
Hóng'ān,China,187134,2010-11-01,hubei
Hónghú,China,278685,2010-11-01,hubei
Huánggāng,China,267860,2010-11-01,hubei
Huángméi,China,283627,2010-11-01,hubei
Huángshí,China,691963,2010-11-01,hubei
Jiānglíng,China,99429,2010-11-01,hubei
Jiānlì,China,356136,2010-11-01,hubei
Jiànshĭ,China,103973,2010-11-01,hubei
Jiāyú,China,119470,2010-11-01,hubei
Jīngmén,China,426119,2010-11-01,hubei
Jīngshān,China,266341,2010-11-01,hubei
"Jīngzhōu ( incl. Shāshì, Jiānglíng ) [ Jingzhou ]",China,904157,2010-11-01,hubei
Láifèng,China,55483,2010-11-01,hubei
Lăohékŏu,China,212645,2010-11-01,hubei
Lìchuān,China,195749,2010-11-01,hubei
Luótián,China,169380,2010-11-01,hubei
Máchéng,China,302671,2010-11-01,hubei
Nánzhāng,China,180047,2010-11-01,hubei
Qiánjiāng,China,437757,2010-11-01,hubei
Qíchūn,China,233844,2010-11-01,hubei
Shāyáng,China,175994,2010-11-01,hubei
Shíshŏu,China,213851,2010-11-01,hubei
Shíyàn [ Shiyan ],China,724016,2010-11-01,hubei
Sōngzī,China,271514,2010-11-01,hubei
Suíxiàn,China,161741,2010-11-01,hubei
Suízhōu,China,393173,2010-11-01,hubei
Tiānmén,China,612515,2010-11-01,hubei
Tōngchéng,China,124125,2010-11-01,hubei
Tōngshān,China,112003,2010-11-01,hubei
Tuánfēng,China,88213,2010-11-01,hubei
"Wŭhàn ( incl. Hànyáng, Huángpí, Wŭchāng, Xīnzhōu ) [ Wuhan ]",China,7541527,2010-11-01,hubei
Wŭxué,China,270882,2010-11-01,hubei
Xiánfēng,China,85347,2010-11-01,hubei
Xiāngyáng ( Xiāngfán ) [ Xiangyang ],China,1433057,2010-11-01,hubei
Xiánníng,China,340723,2010-11-01,hubei
Xiāntáo,China,553029,2010-11-01,hubei
Xiàochāng,China,182818,2010-11-01,hubei
Xiàogăn,China,582403,2010-11-01,hubei
Xīshuĭ,China,235909,2010-11-01,hubei
Xuān'ēn,China,73352,2010-11-01,hubei
Yángxīn,China,237980,2010-11-01,hubei
Yíchāng [ Yichang ],China,1049363,2010-11-01,hubei
Yíchéng,China,201945,2010-11-01,hubei
Yídū ( Zhīchéng ),China,176233,2010-11-01,hubei
Yīngchéng,China,302026,2010-11-01,hubei
Yīngshān,China,104618,2010-11-01,hubei
Yuăn'ān,China,71431,2010-11-01,hubei
Yúnmèng,China,218853,2010-11-01,hubei
Yúnxī,China,130444,2010-11-01,hubei
Yúnyáng ( Yúnxiàn ),China,173085,2010-11-01,hubei
Zăoyáng,China,442367,2010-11-01,hubei
Zhījiāng,China,218396,2010-11-01,hubei
Zhōngxiáng,China,439019,2010-11-01,hubei
Zhúshān,China,120782,2010-11-01,hubei
Zhúxī,China,90069,2010-11-01,hubei
Zĭguī,China,110658,2010-11-01,hubei
Ānhuà,China,223995,2010-11-01,hunan
Ānrén,China,132202,2010-11-01,hunan
Ānxiāng,China,168346,2010-11-01,hunan
Băojìng,China,85117,2010-11-01,hunan
Chálíng,China,276812,2010-11-01,hunan
Chángdé [ Changde ],China,846308,2010-11-01,hunan
Chángníng,China,332927,2010-11-01,hunan
Chángshā ( incl. Wàngchéng ) [ Changsha ],China,3193354,2010-11-01,hunan
Chángshā,China,486428,2010-11-01,hunan
Chéngbù,China,66316,2010-11-01,hunan
Chénxī,China,133524,2010-11-01,hunan
Chēnzhōu,China,582971,2010-11-01,hunan
Cílì,China,158104,2010-11-01,hunan
Dàoxiàn,China,185181,2010-11-01,hunan
Dōng'ān,China,178501,2010-11-01,hunan
Dòngkŏu,China,207429,2010-11-01,hunan
Fènghuáng,China,82472,2010-11-01,hunan
Guìyáng,China,243371,2010-11-01,hunan
Hànshòu,China,215907,2010-11-01,hunan
Héngdōng,China,178617,2010-11-01,hunan
Héngnán,China,310683,2010-11-01,hunan
Héngshān,China,110634,2010-11-01,hunan
Héngyáng,China,337126,2010-11-01,hunan
Héngyáng [ Hengyang ],China,1055964,2010-11-01,hunan
Hóngjiāng,China,197753,2010-11-01,hunan
Huáihuà,China,472687,2010-11-01,hunan
Huáróng,China,213620,2010-11-01,hunan
Huāyuán,China,98331,2010-11-01,hunan
Huìtóng,China,79509,2010-11-01,hunan
Jiāhé,China,109709,2010-11-01,hunan
Jiānghuá,China,79659,2010-11-01,hunan
Jiāngyŏng,China,49131,2010-11-01,hunan
Jìngzhōu,China,97753,2010-11-01,hunan
Jīnshì,China,156230,2010-11-01,hunan
Jíshŏu,China,212328,2010-11-01,hunan
Lánshān,China,119485,2010-11-01,hunan
Lĕiyáng,China,476173,2010-11-01,hunan
Lĕngshuĭjiāng,China,238275,2010-11-01,hunan
Liányuán,China,245360,2010-11-01,hunan
Lĭlíng,China,449067,2010-11-01,hunan
Línlĭ,China,155906,2010-11-01,hunan
Línwŭ,China,91774,2010-11-01,hunan
Línxiāng,China,225054,2010-11-01,hunan
Liúyáng [ Liuyang ],China,588081,2010-11-01,hunan
Lĭxiàn,China,264143,2010-11-01,hunan
Lónghuí,China,274368,2010-11-01,hunan
Lóngshān,China,144510,2010-11-01,hunan
Lóudĭ,China,425037,2010-11-01,hunan
Lúxī,China,94191,2010-11-01,hunan
Máyáng,China,92503,2010-11-01,hunan
Mìluó,China,321074,2010-11-01,hunan
Nánxiàn,China,261934,2010-11-01,hunan
Níngxiāng [ Ningxiang ],China,498055,2010-11-01,hunan
Níngyuăn,China,232023,2010-11-01,hunan
Píngjiāng,China,292803,2010-11-01,hunan
Qídōng,China,319059,2010-11-01,hunan
Qíyáng,China,307648,2010-11-01,hunan
Rŭchéng,China,87459,2010-11-01,hunan
Sāngzhí,China,87672,2010-11-01,hunan
Shàodōng,China,369271,2010-11-01,hunan
Shàoyáng,China,228180,2010-11-01,hunan
Shàoyáng [ Shaoyang ],China,574527,2010-11-01,hunan
Shímén,China,187127,2010-11-01,hunan
Shuāngfēng,China,170637,2010-11-01,hunan
Shuāngpái,China,57951,2010-11-01,hunan
Suíníng,China,65080,2010-11-01,hunan
Táojiāng,China,255276,2010-11-01,hunan
Táoyuán,China,227325,2010-11-01,hunan
Tōngdào,China,49585,2010-11-01,hunan
Wŭgāng,China,187436,2010-11-01,hunan
Xiāngtán,China,237322,2010-11-01,hunan
Xiāngtán [ Xiangtan ],China,903287,2010-11-01,hunan
Xiāngxiāng,China,210799,2010-11-01,hunan
Xiāngyīn,China,298015,2010-11-01,hunan
Xīnhuà,China,244064,2010-11-01,hunan
Xīnhuăng,China,61916,2010-11-01,hunan
Xīnníng,China,154167,2010-11-01,hunan
Xīnshào,China,195437,2010-11-01,hunan
Xīntián,China,87354,2010-11-01,hunan
Xùpŭ,China,211166,2010-11-01,hunan
Yánlíng,China,77630,2010-11-01,hunan
Yìyáng [ Yiyang ],China,697607,2010-11-01,hunan
Yízhāng,China,207410,2010-11-01,hunan
Yŏngshùn,China,129924,2010-11-01,hunan
Yŏngxīng,China,187369,2010-11-01,hunan
Yŏngzhōu ( Línglíng ),China,540930,2010-11-01,hunan
Yōuxiàn,China,281377,2010-11-01,hunan
Yuánjiāng,China,281097,2010-11-01,hunan
Yuánlíng,China,174242,2010-11-01,hunan
Yuèyáng [ Yueyang ],China,924099,2010-11-01,hunan
Yuèyáng,China,244922,2010-11-01,hunan
Zhāngjiājiè ( Dàyōng ),China,250489,2010-11-01,hunan
Zhĭjiāng,China,86352,2010-11-01,hunan
Zhōngfāng,China,54433,2010-11-01,hunan
Zhūzhōu [ Zhuzhou ],China,1093730,2010-11-01,hunan
Zīxīng,China,215707,2010-11-01,hunan
Băoyīng,China,333643,2010-11-01,jiangsu
Bīnhăi,China,415187,2010-11-01,jiangsu
Chángshú [ Changshu ],China,929124,2010-11-01,jiangsu
Chángzhōu ( incl. Wŭjìn ),China,2257376,2010-11-01,jiangsu
Dàfēng,China,347389,2010-11-01,jiangsu
Dānyáng,China,500572,2010-11-01,jiangsu
Dōnghăi,China,398794,2010-11-01,jiangsu
Dōngtái,China,489815,2010-11-01,jiangsu
Fēngxiàn,China,390717,2010-11-01,jiangsu
Fùníng,China,378267,2010-11-01,jiangsu
Gànyú,China,413809,2010-11-01,jiangsu
Gāochún,China,203879,2010-11-01,jiangsu
Gāoyóu,China,341069,2010-11-01,jiangsu
Guànnán,China,243471,2010-11-01,jiangsu
Guànyún,China,320405,2010-11-01,jiangsu
Hăi'ān,China,424900,2010-11-01,jiangsu
Hóngzé,China,146359,2010-11-01,jiangsu
Huái'ān ( Huáiyīn ) [ Huai'an ],China,1523655,2010-11-01,jiangsu
Jiāngyīn [ Jiangyin ],China,1013670,2010-11-01,jiangsu
Jiànhú,China,355021,2010-11-01,jiangsu
Jìngjiāng,China,388119,2010-11-01,jiangsu
Jīnhú,China,143346,2010-11-01,jiangsu
Jīntán,China,275185,2010-11-01,jiangsu
Jùróng,China,299033,2010-11-01,jiangsu
Kūnshān,China,1118617,2010-11-01,jiangsu
Liánshuĭ,China,336643,2010-11-01,jiangsu
Liányúngăng [ Lianyungang ],China,897393,2010-11-01,jiangsu
Lìshuĭ,China,206419,2010-11-01,jiangsu
Lìyáng,China,368409,2010-11-01,jiangsu
"Nánjīng ( incl. Jiāngníng, Jiāngpǔ, Lùhé ) [ Nanking ]",China,5827888,2010-11-01,jiangsu
"Nántōng ( incl. Tōngzhōu, Hăimén ) [ Nantong ]",China,2066166,2010-11-01,jiangsu
Pèixiàn,China,495950,2010-11-01,jiangsu
Pīzhōu ( Pīxiàn ),China,631572,2010-11-01,jiangsu
Qĭdōng,China,479243,2010-11-01,jiangsu
Rúdōng,China,479170,2010-11-01,jiangsu
Rúgāo,China,614909,2010-11-01,jiangsu
Shèyáng,China,424955,2010-11-01,jiangsu
Shùyáng [ Shuyang ],China,730810,2010-11-01,jiangsu
Sìhóng,China,376726,2010-11-01,jiangsu
Sìyáng,China,387900,2010-11-01,jiangsu
Suīníng,China,426297,2010-11-01,jiangsu
Sùqiān [ Suqian ],China,783376,2010-11-01,jiangsu
"Sūzhōu ( incl. Wújiāng, Wúzhōng )",China,4083923,2010-11-01,jiangsu
Tàicāng,China,435225,2010-11-01,jiangsu
Tàixīng,China,553079,2010-11-01,jiangsu
"Tàizhōu ( incl. Huángyán, Jiāngyàn ) [ Taizhou ]",China,1053601,2010-11-01,jiangsu
Wúxī,China,2757736,2010-11-01,jiangsu
Xiăngshuĭ,China,225319,2010-11-01,jiangsu
Xīnghuà,China,575288,2010-11-01,jiangsu
Xīnyí,China,402169,2010-11-01,jiangsu
Xūyí,China,288664,2010-11-01,jiangsu
Xúzhōu ( incl. Tóngshān ) [ Xuzhou ],China,2214795,2010-11-01,jiangsu
Yánchéng [ Yancheng ],China,1136826,2010-11-01,jiangsu
Yángzhōng,China,179771,2010-11-01,jiangsu
Yángzhōu ( incl. Jiāngdū ) [ Yangzhou ],China,1584237,2010-11-01,jiangsu
Yíxīng [ Yixing ],China,710497,2010-11-01,jiangsu
Yízhēng,China,271969,2010-11-01,jiangsu
Zhāngjiāgăng,China,762625,2010-11-01,jiangsu
Zhènjiāng [ Zhenjiang ],China,950516,2010-11-01,jiangsu
Ānfú,China,126509,2010-11-01,jiangxi
Ānyì,China,87202,2010-11-01,jiangxi
Ānyuăn,China,108044,2010-11-01,jiangxi
Chóngrén,China,111769,2010-11-01,jiangxi
Chóngyì,China,56089,2010-11-01,jiangxi
Dàyú,China,135480,2010-11-01,jiangxi
Dé'ān,China,75621,2010-11-01,jiangxi
Déxīng,China,148565,2010-11-01,jiangxi
Dìngnán,China,96598,2010-11-01,jiangxi
Dōngxiāng,China,169404,2010-11-01,jiangxi
Dūchāng,China,154850,2010-11-01,jiangxi
Fēngchéng,China,379914,2010-11-01,jiangxi
Fèngxīn,China,124386,2010-11-01,jiangxi
Fēnyí,China,133378,2010-11-01,jiangxi
Fúliáng,China,177503,2010-11-01,jiangxi
Fŭzhōu ( Línchuān ),China,482940,2010-11-01,jiangxi
"Gànzhōu ( incl. Gànxiàn, Nánkāng ) [ Ganzhou ]",China,1035911,2010-11-01,jiangxi
Gāo'ān,China,295507,2010-11-01,jiangxi
Gòngqīngchéng,China,63482,2010-11-01,jiangxi
Guăngchāng,China,79731,2010-11-01,jiangxi
Guìxī,China,210319,2010-11-01,jiangxi
Héngfēng,China,100956,2010-11-01,jiangxi
Huìchāng,China,185768,2010-11-01,jiangxi
Húkŏu,China,90454,2010-11-01,jiangxi
Jí'ān,China,328318,2010-11-01,jiangxi
Jí'ān,China,165722,2010-11-01,jiangxi
Jĭngdézhèn,China,430084,2010-11-01,jiangxi
Jĭnggāngshān,China,86673,2010-11-01,jiangxi
Jīnxī,China,84333,2010-11-01,jiangxi
Jìnxián,China,182868,2010-11-01,jiangxi
Jíshuĭ,China,198368,2010-11-01,jiangxi
Jiŭjiāng,China,704356,2010-11-01,jiangxi
Lè'ān,China,106225,2010-11-01,jiangxi
Lèpíng,China,286351,2010-11-01,jiangxi
Liánhuā,China,84374,2010-11-01,jiangxi
Líchuān,China,91041,2010-11-01,jiangxi
Lóngnán,China,152051,2010-11-01,jiangxi
Lúshān ( Xīngzi ),China,101630,2010-11-01,jiangxi
Lúxī,China,108217,2010-11-01,jiangxi
Nánchāng ( incl. Xīnjiàn ) [ Nanchang ],China,2614380,2010-11-01,jiangxi
Nánchāng,China,428785,2010-11-01,jiangxi
Nánchéng,China,131245,2010-11-01,jiangxi
Nánfēng,China,91079,2010-11-01,jiangxi
Níngdū,China,200779,2010-11-01,jiangxi
Péngzé,China,151152,2010-11-01,jiangxi
Píngxiāng [ Pingxiang ],China,716229,2010-11-01,jiangxi
Póyáng,China,366169,2010-11-01,jiangxi
Quánnán,China,74766,2010-11-01,jiangxi
Ruìchāng,China,150531,2010-11-01,jiangxi
Ruìjīn,China,216229,2010-11-01,jiangxi
Shànggāo,China,131805,2010-11-01,jiangxi
Shànglì,China,188532,2010-11-01,jiangxi
"Shàngráo ( incl. Guăngfēng, Guǎngxìn ) [ Shangrao ]",China,885740,2010-11-01,jiangxi
