prov_id,names,owner,population,year,victory_points
13993,Lens,FRA,147145,2025,
13994,Dunkerque; Dunkirk,FRA,129033,2025,
13995,Calais,FRA,72072,2025,
13997,Amiens,FRA,102612,2025,
13999,Brest,FRA,127489,2025,
14000,Rennes,FRA,251924,2025,
14004,Rouen,FRA,309210,2025,
14010,Aéroport de Charles-de-Gaulle; Charles de Gaulle Airport,FRA,,,5
14012,Versailles,FRA,84095,2023,
14016,Saint-Nazaire,FRA,56337,2025,
14020,Orléans,FRA,219332,2025,
14022,Tours,FRA,223834,2025,
14027,Aéroport de Toulouse–Blagnac; Toulouse-Blagnac Airport,FRA,,,1
14029,Montpellier,FRA,337381,2025,
14030,Béziers,FRA,69194,2025,
14036,La Rochelle,FRA,84391,2025,
14038,Dijon,FRA,219337,2025,
14041,Aéroport de Lyon-Saint Exupéry; Lyon-Saint Exupéry Airport,FRA,,,2
14044,Saint-Étienne,FRA,180472,2025,
14045,Clermont-Ferrand,FRA,203170,2025,
14048,Cannes,FRA,212941,2025,
14051,Toulon,FRA,290434,2025,
14053,Aéroport Marseille-Provence; Marseille Provence Airport,FRA,,,2
3241,Hereford,GBR,55483,2025,
9383,Falkirk,GBR,59626,2025,
9332,Harrogate,GBR,65246,2025,
9075,Inverness,GBR,61354,2011,
9364,Wrexham,GBR,65540,2011,
11332,Carlisle,GBR,74911,2025,
385,Londonderry,GBR,92108,2011,
13070,Maidstone,GBR,105233,2025,
507,Crawley,GBR,106964,2025,
13655,Basingstoke,GBR,109991,2025,
3463,Exeter,GBR,110292,2025,
13702,Doncaster,GBR,125305,2025,
14909,Grimsby,GBR,126609,2025,
11253,Cambridge,GBR,136064,2025,
13680,Gloucester,GBR,145718,2025,
13676,Swansea,GBR,150621,2025,
9269,York,GBR,151629,2025,
3150,Dundee,GBR,158327,2025,
9239,Oxford,GBR,168021,2025,
13711,Sunderland,GBR,180833,2025,
13666,Norwich,GBR,188535,2025,
6335,Blackpool,GBR,189730,2025,
13713,Aberdeen,GBR,193155,2025,
9268,Northampton,GBR,219781,2025,
540,Plymouth,GBR,252928,2025,
13668,Southend-on-Sea,GBR,265744,2025,
11221,Luton,GBR,268353,2025,
13696,Derby,GBR,271899,2025,
