City,Country,Population (2025)
Mankessim,Ghana,78727.73534
Kidal,Mali,57743.57753
Kandi,Benin,101483.5001
Agbaku,Nigeria,59980.42436
Mayahi,Niger,57393.89223
Mbalmayo,Cameroon,85710.0795
Gabela,Angola,151597.9973
Bikoro,Democratic Republic of the Congo,52059.3052
Faya-Largeau,Chad,183007.2697
Seweding,South Africa,181490.544
Mansa,Zambia,427109.652
Mbeya,Tanzania,587388.0278
Busia,Uganda,88704.5731
Mopeia,Mozambique,63461.04881
Dangla,Ethiopia,88868.19153
Machakos,Kenya,93679.35485
Buulo Mareer,Somalia,113906.4012
Antetezambaro,Madagascar,144776.3591
Médina Gounass,Senegal,67376.52666
Lola,Guinea,59781.37987
Divo,Côte d'Ivoire,178851.6979
Atebubu,Ghana,83943.91204
Nikki,Benin,56333.35684
Sagamu,Nigeria,111818.5865
Aguié,Niger,53474.06157
Banyo,Cameroon,103946.8837
Quipungo,Angola,67004.14186
Mbandaka,Democratic Republic of the Congo,464867.7395
Kyabé,Chad,77972.63727
Bloemfontein,South Africa,482751.3551
Kasama,Zambia,221568.8589
Shinyanga,Tanzania,123672.519
Narus,South Sudan,274881.0818
Mbale City,Uganda,380225.0899
Lichinga,Mozambique,295133.7227
Jinka,Ethiopia,153849.4747
Embu,Kenya,333699.8381
Berbera,Somalia,147172.1842
Antsiranana,Madagascar,99633.78577
Tambacounda,Senegal,241376.9138
Sinko,Guinea,99678.52494
Yamoussoukro,Côte d'Ivoire,227858.5613
Akim Oda,Ghana,112164.8719
Malanville,Benin,103428.2917
Kamba,Nigeria,68515.38383
Agadez,Niger,360388.0329
Sangmélima,Cameroon,93356.07589
Ganda,Angola,101900.9961
Bulungu,Democratic Republic of the Congo,58987.81422
Komani,South Africa,55575.22982
Mpulungu,Zambia,88867.48151
Kyela,Tanzania,71758.79821
Bukalasi,Uganda,374528.2554
Marromeu,Mozambique,101945.9284
Addis Kidan,Ethiopia,52669.54321
Meru,Kenya,117462.5823
Shalaambood,Somalia,72787.76128
Kedougou,Senegal,60486.29122
Ferkéssédougou,Côte d'Ivoire,108042.3774
Tamale,Ghana,774161.6478
Iperu,Nigeria,89532.01883
Tibati,Cameroon,52537.84766
Caluquembe,Angola,90044.89547
Libenge,Democratic Republic of the Congo,65415.85609
Umm Hajar,Chad,118033.7518
Botshabelo-K,South Africa,73085.90962
Mpika,Zambia,58385.33035
Musoma,Tanzania,189130.8342
Buligenyi,Uganda,138526.6429
Milange,Mozambique,120961.7617
Durbete,Ethiopia,69328.96471
KK Market Centre,Kenya,65236.62005
Merca,Somalia,246381.3241
Ouangolodougou,Côte d'Ivoire,69139.69725
Bolgatanga,Ghana,86234.29754
Ishara,Nigeria,74778.56968
Tessaoua,Niger,157245.8879
Ngaoundal,Cameroon,73115.32858
Cuimba,Angola,102343.3132
Kikwit,Democratic Republic of the Congo,488733.9059
Am Timan,Chad,189462.96
Botshabelo-N,South Africa,122484.2943
Mbala,Zambia,57336.81532
Bunda,Tanzania,82903.10407
Mandimba,Mozambique,71382.99744
Injibara,Ethiopia,85412.03052
Mado Gashi,Kenya,60846.88469
Katiola,Côte d'Ivoire,56158.77019
Savelugu,Ghana,86111.94233
Lakowe,Nigeria,76351.37321
Matamèye,Niger,71119.24802
Garoua,Cameroon,699540.8696
Xangongo,Angola,110199.917
Kahemba,Democratic Republic of the Congo,191592.7143
Abéché,Chad,395144.5101
Welkom,South Africa,161045.941
Katete,Zambia,52406.45114
Bariadi,Tanzania,56154.95254
Nicoadala,Mozambique,57527.66169
Aykel,Ethiopia,106434.4321
Bute Town,Kenya,57068.35163
Wanlaweyn,Somalia,301525.1673
Bouaké,Côte d'Ivoire,704948.97
Walewale,Ghana,55984.4038
Ilishan,Nigeria,91301.78428
Tanout,Niger,81755.5218
Ngong,Cameroon,85070.818
Matala,Angola,297590.0721
Makanza,Democratic Republic of the Congo,71311.5879
Biltine,Chad,106749.7585
Alabama,South Africa,144961.679
Chipata,Zambia,189254.1179
Tarime,Tanzania,63531.11068
Quelimane,Mozambique,521923.5175
Seka,Ethiopia,103256.9533
Habswein,Kenya,77526.16248
Beledweyne,Somalia,246587.5611
Dimbokro,Côte d'Ivoire,59649.98138
Nkawkaw,Ghana,80945.13667
Igboho,Nigeria,141437.1048
Magaria,Niger,129206.8051
Ngaoundéré,Cameroon,359176.4499
Calulo,Angola,69279.85105
Bozene,Democratic Republic of the Congo,60535.06255
Goz Beïda,Chad,60206.85052
Uitkomsdal,South Africa,85890.20122
Nakonde,Zambia,139612.7631
Makambako,Tanzania,59618.96959
Cuamba,Mozambique,79435.8962
Jimma,Ethiopia,356723.876
Ukunda,Kenya,61074.44666
Afgooye,Somalia,53671.72446
Dabou,Côte d'Ivoire,73883.06026
Agona Swedru,Ghana,175249.453
Ibadan,Nigeria,4043954.957
Zinder,Niger,748965.2014
Bertoua,Cameroon,204775.4185
N'dalatando,Angola,107129.3473
Bwamanda,Democratic Republic of the Congo,59973.87405
Adré,Chad,101240.1057
Sisulu Village,South Africa,151960.7384
Lundazi,Zambia,57915.03354
Singida,Tanzania,120810.2959
Muala,Mozambique,70976.33067
Tilili,Ethiopia,52506.60634
Mombasa,Kenya,1617738.965
Burao,Somalia,403480.599
Agboville,Côte d'Ivoire,74339.27283
Asamankese,Ghana,100710.5265
Kishi,Nigeria,175076.0201
Gouré,Niger,57489.90876
Mokolo,Cameroon,167263.3535
Caconda,Angola,72157.21953
Gungu,Democratic Republic of the Congo,77411.31166
Tiné-Djagaraba,Chad,91023.38312
East London,South Africa,244635.4694
Songea,Tanzania,228439.5078
Mocuba,Mozambique,182674.659
Burie,Ethiopia,75659.87934
Garissa,Kenya,422142.9108
Mogadishu,Somalia,4798452.599
Abidjan,Côte d'Ivoire,6450315.611
Yeji,Ghana,71894.74463
Oyo,Nigeria,791680.8508
Maïné-Soroa,Niger,82052.64694
Guider,Cameroon,179745.6857
Quibala,Angola,59122.14628
Idiofa,Democratic Republic of the Congo,131882.5099
Karyari,Chad,191898.4604
Potchefstroom,South Africa,182281.9105
Iringa,Tanzania,217074.0422
Gurue,Mozambique,119934.5426
Jumba la Mtwana,Kenya,77070.29911
