Name,Status,State,36617,40269,43922
Bloomsburg - Berwick,Urban Area,Pennsylvania,,,39212
Blowing Rock,Urban Area,North Carolina,,,1412
Bluefield,Urban Area,West Virginia / Virginia,38737,44092,40750
Bluffton,Urban Area,Indiana,9670,9952,10346
Bluffton East - Hilton Head Island,Urban Area,South Carolina,40536,68998,71824
Bluffton West (Sun City Hilton Head),Urban Area,South Carolina,,12555,31096
Blythe,Urban Area,California / Arizona,12355,12967,11780
Blytheville,Urban Area,Arkansas,21501,18219,15873
Boerne,Urban Area,Texas,6184,10467,18320
Bogalusa,Urban Area,Louisiana,13257,12213,11019
Boise City,Urban Area,Idaho,272625,349684,433180
Bolivar,Urban Area,Missouri,8746,9693,10324
Bolivar,Urban Area,Tennessee,5902,5394,5281
Bonham,Urban Area,Texas,,,7799
Bonita Springs - Estero,Urban Area,Florida,236844,310298,425675
Bonne Terre,Urban Area,Missouri,,,6696
Boone,Urban Area,Iowa,12400,12793,12357
Boone,Urban Area,North Carolina,17151,22763,26306
Booneville,Urban Area,Mississippi,6019,6050,6438
Boonville,Urban Area,Indiana,6784,6258,6507
Boonville,Urban Area,Missouri,9272,9229,8034
Boothbay Harbor,Urban Area,Maine,,,3067
Borger,Urban Area,Texas,14501,13574,12848
Boston,Urban Area,Massachusetts / New Hampshire,4039235,4181019,4382009
Boulder,Urban Area,Colorado,112299,114591,120828
Boulder City,Urban Area,Nevada,12059,13866,14181
Bowie,Urban Area,Texas,5440,5143,5419
Bowling Green,Urban Area,Kentucky,58314,78306,97814
Bowling Green,Urban Area,Ohio,30031,30738,30989
Box Elder,Urban Area,South Dakota,7871,7885,11386
Boyne City,Urban Area,Michigan,3348,3501,3990
Bozeman,Urban Area,Montana,31591,43164,59080
Bradenton - Sarasota - Venice,Urban Area,Florida,559229,643260,779075
Bradford,Urban Area,Pennsylvania / New York,13169,12083,11182
Brady,Urban Area,Texas,5420,5357,4887
Brainerd,Urban Area,Minnesota,17126,19812,20687
Brandon,Urban Area,South Dakota,5211,8173,10959
Branson,Urban Area,Missouri,14359,22645,28640
Brattleboro,Urban Area,Vermont,8877,9980,10285
Brawley,Urban Area,California,22035,25032,26270
Brazil,Urban Area,Indiana,,,10587
Breaux Bridge,Urban Area,Louisiana,,18465,17542
Breckenridge,Urban Area,Colorado,4377,7179,8725
Breckenridge,Urban Area,Texas,6164,5839,5455
Breese,Urban Area,Illinois,,,4637
Bremen,Urban Area,Georgia,4371,6516,7327
Bremerton,Urban Area,Washington,178369,198979,224449
Brenham,Urban Area,Texas,13949,15682,17395
Brevard,Urban Area,North Carolina,11031,13121,13059
Brewton,Urban Area,Alabama,6752,6866,6371
Bridgeport - Stamford,Urban Area,Connecticut / New York,888890,923311,916408
Bridgeton,Urban Area,New Jersey,35787,35022,35666
Brigham City,Urban Area,Utah,,,25827
Bristol,Urban Area,Tennessee / Virginia,71188,69501,70638
Broadway - Timberville,Urban Area,Virginia,4246,6228,7188
Brockport,Urban Area,New York,,,13079
Brookfield,Urban Area,Missouri,4450,4281,3869
Brookhaven,Urban Area,Mississippi,12096,10635,10152
Brookings,Urban Area,Oregon,10030,10915,11294
Brookings,Urban Area,South Dakota,18563,22482,23674
