City,Country,Population (2025)
Baraki Rijan,Afghanistan,67807.60224
Khairpur,Pakistan,239124.4287
Hanumanangarh Junction,India,169150.3425
Pangsha,Bangladesh,117143.9664
Bandar-e Mahshahr,Iran,86769.29695
Pol-E-Charkhi,Afghanistan,85026.57816
Chakdara,Pakistan,91140.20266
Surendranagar,India,310315.3566
Shahajadpur,Bangladesh,977836.3752
Haftkel,Iran,82069.11066
Sui,Pakistan,52222.94016
Pathankot,India,292355.5144
Sarishabari,Bangladesh,87099.86932
Tehran,Iran,9363123.748
Sakrand,Pakistan,77809.90842
Una,India,95225.59859
Tarakandi,Bangladesh,64200.01646
Ramhormoz,Iran,56377.39326
Khand Khil,Afghanistan,67066.0229
Thana,Pakistan,117275.3038
Hanumangarh,India,80848.8406
Jamalpur,Bangladesh,328316.8047
Qom,Iran,844097.9715
Mihtarlam,Afghanistan,166648.4372
Wardaga,Pakistan,64470.94856
Deesa,India,158275.4216
Jashore,Bangladesh,552980.9707
District 8,Iran,68930.38712
Kaza,Afghanistan,54464.76064
Pabbi,Pakistan,128496.4431
Kotkapura,India,96049.95675
Sathiya,Bangladesh,51466.223
Izeh,Iran,149442.4107
Jalalabad,Afghanistan,618390.6793
Nawabshah,Pakistan,298009.2562
Nokha,India,98637.82059
Sherpur,Bangladesh,331320.3815
Qarchak,Iran,353862.5189
Khost,Afghanistan,338539.8116
Mardan,Pakistan,1291182.873
Jodhpur,India,1540835.007
Bera,Bangladesh,98518.44785
Pakdasht,Iran,126581.8164
Trilyee Family,Afghanistan,95253.55269
Kandhkot,Pakistan,156866.7648
Jalore,India,87706.21819
Satkhira,Bangladesh,242084.2428
Pardis,Iran,267233.2593
Khaki,Afghanistan,60297.04757
Thatta,Pakistan,124679.6971
Patan,India,208427.6343
Kashinathpur,Bangladesh,61886.48243
Pishva,Iran,368028.9806
Asadabad,Afghanistan,52491.69199
Mingora,Pakistan,972558.9675
Kundla,India,97476.0107
Magura,Bangladesh,172146.6645
Amol,Iran,182000.5744
Katlang,Pakistan,58708.84535
Botad,India,137833.3296
Buhapur,Bangladesh,62859.2704
Fereydunkenar,Iran,63346.54684
Matta,Pakistan,190057.5841
Kapurthala,India,131133.8125
Dhanbari,Bangladesh,87686.40278
Kashan,Iran,226194.9491
Amangarh,Pakistan,72912.34291
Mandi Dabwali,India,68190.27437
Nalitabari,Bangladesh,62454.12548
Behbahan,Iran,105944.3156
Dera Ismail Khan,Pakistan,381589.8698
Limbdi,India,62422.60759
Rajbari,Bangladesh,192471.0422
Shahr-e Kord,Iran,97136.22345
Pano Akil,Pakistan,97953.5509
Moga,India,188037.6876
Madhupur,Bangladesh,81792.45497
Khwazakhela,Pakistan,87295.61378
Viramgam,India,87822.14174
Ghatail,Bangladesh,86344.6849
Babol,Iran,230106.157
Nowshera,Pakistan,772117.4887
Palanpur,India,210965.8911
Elenga,Bangladesh,65517.14359
Dehdasht,Iran,54457.71365
Haleji Sharif,Pakistan,79868.13445
Bathinda,India,394005.3314
Kalihati,Bangladesh,325704.8817
Najafabad,Iran,159482.8572
Charbagh,Pakistan,127389.7841
Siddhpur,India,74626.45865
Tangail,Bangladesh,403295.7296
Qaem Shahr,Iran,169800.1844
Jamshoro,Pakistan,112368.0865
Rajula,India,61930.8427
Noapara,Bangladesh,143173.0009
Charam,Iran,96760.6004
Hala,Pakistan,84586.99148
Jalandhar,India,1170866.618
Gazipur,Bangladesh,84943.16788
Fuladshahr,Iran,52803.32696
Hyderabad,Pakistan,2956488.276
Unjha,India,105246.7926
Daulatpur,Bangladesh,70277.16667
Shahin Shahr,Iran,117804.3789
Ismaila,Pakistan,134558.3848
Mahesana,India,376009.9653
Haluaghat,Bangladesh,66132.24753
Isfahan,Iran,1817590.201
Garhi Kapoora,Pakistan,70252.20856
Nagaur,India,190919.5133
Delduar,Bangladesh,154695.2849
Sari,Iran,259509.397
Ghotki,Pakistan,157580.7822
